Probentyp;Probenahmestelle;Geo Point;X-Koordinate;Y-Koordinate;Probenahmedatum;Entnahmezeit;Probenahmedauer;Reihenfolge;Gruppe;Parameter;Bestimmungsgrenze;Wert;Wert numerisch;Einheit;Auftragsnummer;Probennummer;Resultatnummer;Automatische Auswertung;CAS-Bezeichnung;BAFU-Bezeichnung;Allgemeine Parametergruppe;Probenahmedatum_date;Probenahmejahr
WASSER;F_1044;47.56756030541203,7.592923440793316;2611611.5;1268550.57;13.08.2019;11:30;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-12.00;-12.0;m;12019081205;22019080140;4500410836;False;;;;2019-08-13;2019
WASSER;F_1045;47.55403333657704,7.610316753552325;2612923.65;1267049.23;28.10.2019;12:00;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-12.00;-12.0;m;12019102304;22019100234;4500444976;False;;;;2019-10-28;2019
WASSER;F_1044;47.56756030541203,7.592923440793316;2611611.5;1268550.57;17.02.2020;09:30;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-12.10;-12.1;m;12020020505;22020020178;4500553095;False;;;;2020-02-17;2020
WASSER;F_1045;47.55403333657704,7.610316753552325;2612923.65;1267049.23;06.05.2020;12:00;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-13.00;-13.0;m;12020042805;22020040252;4500620713;False;;;;2020-05-06;2020
WASSER;F_1044;47.56756030541203,7.592923440793316;2611611.5;1268550.57;24.08.2020;11:50;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-12.10;-12.1;m;12020082104;22020080266;4500711907;False;;;;2020-08-24;2020
WASSER;F_1045;47.55403333657704,7.610316753552325;2612923.65;1267049.23;02.11.2020;10:40;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-12.00;-12.0;m;12020102804;22020100250;4500757338;False;;;;2020-11-02;2020
WASSER;F_1019;47.55185442966899,7.581014461562069;2610718.48;1266802.57;18.08.2016;12:25;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-20.00;-20.0;m;12016081602;22016080148;403663972;False;;;;2016-08-18;2016
WASSER;F_0795;47.589556899851736,7.651688955620735;2616027.08;1271006.66;03.05.2017;10:00;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-12.00;-12.0;m;12017042604;22017040244;403895775;False;;;;2017-05-03;2017
WASSER;F_0804;47.58333004291116,7.652332814044579;2616077.39;1270314.43;04.05.2017;14:30;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-8.20;-8.2;m;12017042604;22017040253;403897886;False;;;;2017-05-04;2017
WASSER;F_0795;47.589556899851736,7.651688955620735;2616027.08;1271006.66;24.10.2018;10:15;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-12.00;-12.0;m;12018101903;22018100218;4500148145;False;;;;2018-10-24;2018
WASSER;F_1057;47.5705506239398,7.634613024655483;2614747.88;1268890.03;23.10.2018;09:10;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-8.00;-8.0;m;12018101903;22018100213;4500147455;False;;;;2018-10-23;2018
WASSER;F_1871;47.57131587210443,7.580990452538251;2610712.77;1268966.46;23.05.2016;16:00;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-16.00;-16.0;m;12016051903;22016050194;403571509;False;;;;2016-05-23;2016
WASSER;F_1871;47.57131587210443,7.580990452538251;2610712.77;1268966.46;03.05.2017;13:55;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-15.50;-15.5;m;12017042603;22017040241;403894959;False;;;;2017-05-03;2017
WASSER;F_1871;47.57131587210443,7.580990452538251;2610712.77;1268966.46;30.05.2018;16:30;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-15.00;-15.0;m;12018052506;22018051221;4500010208;False;;;;2018-05-30;2018
WASSER;F_2614;47.58212342670827,7.597857006879844;2611979.49;1270170.57;04.06.2014;10:40;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-8.00;-8.0;m;12014060305;22014060040;402927365;False;;;;2014-06-04;2014
WASSER;F_2441;47.58187699270678,7.589961952779306;2611385.59;1270142;12.08.2014;14:00;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-7.50;-7.5;m;12014080703;22014080052;402995724;False;;;;2014-08-12;2014
WASSER;F_0432;47.59577855303679,7.650238000585896;2615916.08;1271698.15;17.11.2014;15:56;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-5.50;-5.5;m;12014111403;22014110215;403082586;False;;;;2014-11-17;2014
WASSER;F_2441;47.58187699270678,7.589961952779306;2611385.59;1270142;04.02.2015;10:35;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-7.50;-7.5;m;12015020203;22015020015;403138095;False;;;;2015-02-04;2015
WASSER;F_1877;47.58244201221551,7.590140211515276;2611398.88;1270204.85;08.08.2017;13:40;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-9.00;-9.0;m;12017080105;22017080019;403984992;False;;;;2017-08-08;2017
WASSER;F_2441;47.58187699270678,7.589961952779306;2611385.59;1270142;12.02.2013;11:35;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-7.50;-7.5;m;12013020803;22013020052;402537498;False;;;;2013-02-12;2013
WASSER;F_2614;47.58212342670827,7.597857006879844;2611979.49;1270170.57;15.05.2013;15:20;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-7.50;-7.5;m;12013050604;22013050032;402621176;False;;;;2013-05-15;2013
WASSER;F_2614;47.58212342670827,7.597857006879844;2611979.49;1270170.57;03.04.2014;10:40;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-8.00;-8.0;m;12014040202;22014040013;402866565;False;;;;2014-04-03;2014
WASSER;F_0432;47.59577855303679,7.650238000585896;2615916.08;1271698.15;12.05.2014;16:30;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-5.50;-5.5;m;12014050902;22014050067;402899117;False;;;;2014-05-12;2014
WASSER;F_1068;47.58394724865588,7.65107140262389;2615982.31;1270382.8;14.11.2016;15:35;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-15.50;-15.5;m;12016111406;22016110136;403727543;False;;;;2016-11-14;2016
WASSER;F_1068;47.58394724865588,7.65107140262389;2615982.31;1270382.8;04.05.2017;15:30;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-15.00;-15.0;m;12017042604;22017040250;403897059;False;;;;2017-05-04;2017
WASSER;F_1160;47.544730866916204,7.595354707668329;2611799.5;1266012.56;18.08.2016;09:35;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-17.00;-17.0;m;12016081602;22016080150;403664348;False;;;;2016-08-18;2016
WASSER;F_1097;47.53569707166501,7.605695311588096;2612580.11;1265009.71;23.05.2016;12:05;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-13.00;-13.0;m;12016051903;22016050186;403569989;False;;;;2016-05-23;2016
WASSER;F_1097;47.53569707166501,7.605695311588096;2612580.11;1265009.71;03.05.2017;11:55;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-12.50;-12.5;m;12017042603;22017040233;403893413;False;;;;2017-05-03;2017
WASSER;F_1097;47.53569707166501,7.605695311588096;2612580.11;1265009.71;08.08.2017;09:20;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-12.50;-12.5;m;12017080102;22017080003;403984077;False;;;;2017-08-08;2017
WASSER;F_1097;47.53569707166501,7.605695311588096;2612580.11;1265009.71;22.10.2018;11:55;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-14.00;-14.0;m;12018101903;22018100223;4500149038;False;;;;2018-10-22;2018
WASSER;F_1097;47.53569707166501,7.605695311588096;2612580.11;1265009.71;25.08.2020;11:20;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-12.40;-12.4;m;12020082104;22020080269;4500712068;False;;;;2020-08-25;2020
WASSER;F_1068;47.58394724865588,7.65107140262389;2615982.31;1270382.8;21.05.2019;15:05;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-15.50;-15.5;m;12019051309;22019050224;4500363394;False;;;;2019-05-21;2019
WASSER;F_1392;47.5495955555035,7.582190741075459;2610807.48;1266551.57;06.05.2020;10:20;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-9.50;-9.5;m;12020042805;22020040259;4500622078;False;;;;2020-05-06;2020
WASSER;F_0799;47.58920454361265,7.655335075337354;2616301.45;1270968.23;21.05.2019;14:10;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-14.50;-14.5;m;12019051309;22019050219;4500364169;False;;;;2019-05-21;2019
WASSER;F_0795;47.589556899851736,7.651688955620735;2616027.08;1271006.66;22.05.2019;09:10;STICHPROBE;100700;Probennahme;Entnahmetiefe;-25.0;-12.00;-12.0;m;12019051309;22019050218;4500364324;False;;;;2019-05-22;2019
